,3
name,LinearSVC
params,"{'C': 10, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 300, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': None, 'tol': 0.0001, 'verbose': 0}"
metrics,"{'accuracy': 0.5297788697788697, 'f1_score': 0.45841982486487576, 'roc_auc': 0.7996471863644714, 'TPR': 0.5528038410391352, 'FPR': 0.11442290188867452}"
