,3
name,LinearSVC
params,"{'C': 10, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 300, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': None, 'tol': 0.0001, 'verbose': 0}"
metrics,"{'accuracy': 0.9145234899328859, 'f1_score': 0.9145708051494642, 'roc_auc': 0.972475625734155, 'TPR': 0.9161516103887681, 'FPR': 0.08384838961123176}"
