c_first,c_first_ack,c_last,c_port,c_rtt_avg,c_rtt_max,c_rtt_min,c_rtt_std,durat,s_ack_cnt,s_ack_cnt_p,s_first,s_first_ack,s_last,s_pkts_all,s_rtt_avg,s_rtt_max,s_rtt_min,s_rtt_std,Label
21.054,0.063,21.054,35736.0,0.10833,0.20199032102525233,0.057,0.058484,40.484,4.0,1.0,24.764,21.15,24.764,4.0,0.008,0.021999998845160008,0.006,-0.016535997690320013,Normal
5.847,0.091,5.847,35764.0,0.09633,0.126,0.081,0.025697,40.033,4.0,1.0,9.464,5.928,9.493975001700223,4.026432073675096,0.007,0.009,-0.034999999105930324,0.002,Normal
11.291,0.519,11.320999990947545,35532.0,0.3096570014156103,0.503,0.088,0.207746,73.537,4.0,1.0,16.955,11.379,16.955,4.0,0.01,0.016,-0.034999999105930324,0.005568,Normal
31.491,0.125,31.491,35650.01888197288,0.115329,0.128,0.108,0.011015,52.167,4.0,1.0,36.556,31.599,36.556,4.0,0.008666,0.015,0.003,-0.02397164449554682,Normal
0.789,0.083,0.8089996549636126,35706.0,0.114663,0.197,0.072,0.071319,51.759,4.0,1.0,20.232,0.861,20.236366322420537,4.0,0.007666,0.008,0.007,-0.029422963007867335,Normal
36.692,0.435,36.692,35456.0,0.458651,0.874,0.08,0.398268,90.583,4.0,1.0,44.578,36.772,44.578,4.0,0.008666,0.013,-0.005999885223805904,-0.01549077044761181,Normal
0.674,0.1,0.674,35438.0,0.121996,0.20699992318451405,0.088,0.056312,93.671,4.0,1.0,2.924,0.752000007674098,2.924,4.0,0.007,0.009,0.006,-0.028267993741512298,Normal
25.536,0.118,25.536,35414.0,0.118996,0.17999999955296517,0.089,0.036756,99.64899999884516,4.0,1.0,29.963,25.625,29.963,4.0,0.008666,0.01,0.008,-0.028844999329447747,Normal
5.201,0.084,5.201,35270.0,0.361321,0.854,0.075,0.428533,161.536,4.0,1.02999999653548,51.873,6.055,51.873,4.0,-0.009999999552965164,0.014,-0.04299999888241291,0.003606,Normal
45.335,0.104,45.335,35606.0,1.183294,3.35,0.092,1.876405,81.336,4.0,1.0,47.226,45.443,47.226,4.0,-0.021333999329447746,0.012,0.005,-0.016487999552965163,Normal
25.634,0.15,25.634,35882.0,0.663311,1.76,0.103,0.949817,42.14,4.0,1.0,35.036,25.737,35.036,4.0,0.011666,0.0614227242320776,-0.014999770447611808,0.009866,Normal
35.529,0.128,35.53899942142517,35518.0,0.887637,2.4989932493269444,0.071,1.378295,98.472,4.0,1.0,38.999,35.6,38.999,4.0,0.015999,0.023,0.01,-0.023442655671417713,Normal
15.785,0.092,15.785,35450.0,0.119329,0.182,0.083,0.054501,107.32713113251329,4.0,1.0,18.866,15.878,18.866,4.019999912008643,0.008,0.009,0.006,-0.038266030290007594,Normal
60.761,0.088,60.761,35692.0,0.1609953173778057,0.189,0.071,0.061025,79.341,4.0,1.0,64.266,60.864,64.266,4.0,0.010333,0.04699999932944775,-0.014999999552965163,0.00611,Normal
51.213,0.057,51.213,35726.0,0.108996,0.172,0.02100000067055225,0.040655000447034836,76.591,4.0,1.049999998882413,53.437,51.317,53.437,4.0,0.007,0.04999999910593033,0.005,0.002646,Normal
0.972,0.136,0.972,35508.0,0.116329,0.128,0.101,0.013868,106.41,4.0,1.0,2.733,1.06300000115484,2.733,4.0,-0.005999999552965164,0.04699999932944775,0.009,0.004359,Normal
34.71,0.102,34.71,35708.0,0.195993,0.411,0.083,0.186277,80.146,4.0,1.0,39.231,34.793,39.231,4.0,0.008,0.013,-0.026997327364981175,0.005,Normal
36.078,0.174,36.078,35898.0,0.130329,0.161,0.112,0.026727,49.341,4.0,1.0,43.934,36.19,43.934,4.0,0.009,0.013,-0.013997701048851013,-0.006392850524425507,Normal
11.543,0.136,11.543,36146.0,0.223659,0.44,0.107,0.16754300230967997,19.526,4.0,1.0,13.773,11.65,13.773,4.0,0.009,0.012,0.007,-0.027353999329447747,Normal
91.047,0.115,91.047,35602.0,0.125996,0.168,0.103,0.036428,103.097,4.0,1.0,102.594,91.154,102.594,4.0,0.016333,0.029,0.008,0.01115,Normal
0.755,0.126,0.755,36114.0,0.337322,0.808,0.092,0.407732,34.696,4.0,1.0,2.976,0.847,2.976,4.0,0.011,0.016,0.003,0.007,Normal
75.252,0.082,75.26199943725764,35636.0,0.14766139046800136,0.186,0.076,0.055302,104.227,4.0,1.0,77.867,75.373,77.867,4.0,0.007,0.01,-0.024999655671417712,0.002646,Normal
50.168,0.108,50.168,35928.0,0.12732934390187262,0.133,0.089,0.022898,61.489,4.0,1.0,51.833,50.257,51.833,4.0,0.007666,0.008,-0.0314227242320776,0.000577,Normal
95.973,0.096,95.973,35718.0,0.128996,0.22,0.06000000044703484,0.078886,102.815,4.0,1.0,97.78,96.053,97.78,4.0,0.007,0.009,-0.025999999329447746,0.002646,Normal
11.116,0.13,11.116,35540.0,0.137995,0.156,0.119,0.01852,127.875,4.0,1.0,32.811,11.255,32.811,4.0,0.009,0.011,-0.0029999979138374327,-0.017999995827674864,Normal
56.192,0.759,56.192,35828.0,0.327989,0.748,0.086,0.3551366148964167,85.186,4.0,1.0,59.881,56.278,59.881,4.0,-0.011999969750642776,0.04099995462596416,0.006,0.002646,Normal
