c_first,c_first_ack,c_last,c_port,c_rtt_avg,c_rtt_max,c_rtt_min,c_rtt_std,durat,s_ack_cnt,s_ack_cnt_p,s_first,s_first_ack,s_last,s_pkts_all,s_rtt_avg,s_rtt_max,s_rtt_min,s_rtt_std,Label
7.574,0.271,7.574,35240.0,0.430652,0.611,0.261,0.175244,33.141,4.0,1.0463362885639071,31.122,8.14506141602993,31.122,4.0,0.018333,0.034999987669289113,-0.03999993834644556,0.007638,Normal
5.335,0.17400012081116437,5.335,35220.0,0.30699,0.628,0.099,0.282023,41.898,4.0,1.0,39.58,5.414000000447035,39.58,4.0,0.010333,0.015,-0.03400000283122063,0.004509,Normal
1.477,0.165,1.477,35308.0,0.128996,0.187,0.081,0.053703,26.449,4.0,1.0,24.399,1.558,24.399,4.0,0.019999,0.046,0.006,0.022539,Normal
1.085,0.148,1.085,35228.0,0.1786603564764261,0.218,0.1,0.061655,45.094,4.0,1.0,44.275,1.185,44.275,4.0,-0.015000999105930328,0.031,0.02,-0.014431999552965164,Normal
0.939,0.14,0.939,35298.0,1.556615,3.602,0.118,1.819505,42.514,4.0,1.0,38.042,1.889,38.04590756886918,4.0,0.013333,0.022,-0.003999987669289112,-0.011916975338578224,Normal
1.722,0.135,1.722,35316.0465033995,1.468618,4.174,0.06700026538968086,2.342905,36.559,4.0,1.0,31.33,1.829,31.33,4.0,-0.008334001415610314,0.02,0.005,-0.02236200212341547,Normal
1.911,0.53,1.911,35260.0,1.288624,3.049,0.3,1.52835,45.938,4.025858245790005,1.0,41.967,2.211,41.967,4.0,0.010333,0.013,-0.02099996580183506,-0.027663173273563386,Normal
2.01,0.2,2.01,35218.0,1.264291,3.07,0.19,1.573129,59.643,4.0,1.0,56.258,2.543,56.258,4.0,-0.011333977201223373,0.013,0.003,-0.02486796580183506,Normal
6.072,0.205,6.072,35250.0,0.433652,1.006,0.099,0.498022,53.895,4.0,1.0,52.498,6.171,52.498,4.0,0.011666,0.018,-0.02200000212341547,-0.014492001415610314,Normal
4.252999985359609,0.425,4.242999999552965,35222.0,2.973901,8.437,0.074,4.734096,62.634,4.0,1.0,53.621,4.297,53.621,4.0,0.014666,0.018,0.012,-0.036944999105930326,Normal
0.789,0.121,0.789,35342.0,0.122329,0.152,0.107,0.025697,30.41,4.0,1.0,15.857,0.896,15.857,4.0,0.010666,0.013,-0.010999975338578225,-0.027917963007867336,Normal
1.008,0.101,1.008,35390.0,0.099997,0.123,0.086,0.020075,8.268,4.0,1.0,3.472,1.094,3.4917109188884496,4.0,0.009333,0.012,-0.003999987669289112,-0.026944963007867334,Normal
10.370803359434008,0.236,10.321,35364.0,0.20466,0.31399999582767485,0.102,0.096692,15.819,4.0,1.0,11.821,10.423,11.821,4.029999764636159,0.011333,0.018,-0.03200000283122063,0.005774,Normal
0.917,0.09956454958207905,0.917,35410.0,0.117663,0.146,0.07100004887580871,0.027538,14.729,4.0,1.0,2.725,1.008,2.725,4.0,0.007333,0.01,0.004,-0.026944963007867334,Normal
6.007,0.159,6.026999999552965,35332.0,1.001967,2.698,0.09800000089406968,1.468866,59.194416774332524,4.0,1.0,27.997,6.177,27.997,4.0,0.013333,0.021,0.007,-0.022904999329447746,Normal
0.822,0.152,0.822,35352.0,2.093264,5.224,0.121,2.741615,60.11,4.0,1.0,14.79,1.757,14.79,4.0,-7.53683805466282e-07,0.0609996305257082,0.011,0.010149,Normal
0.801,0.146,0.801,35338.0,1.155295,3.222,0.09200000230967999,1.789814,73.704,4.0,1.0399514436721802,22.39,0.913,22.39,4.0,0.01,0.04400000212341547,-0.0030000007078051566,0.003606,Normal
2.3,0.088,2.3,35284.0,0.165661,0.287,0.082,0.107565,105.883,4.0,1.0,53.063,2.428,53.063,4.0,-0.008999908283352853,0.04599986242502928,0.006,0.005,Normal
34.392,0.158,34.392,35404.00717413286,0.61298,1.588,0.104,0.844648,49.037,4.0,1.0,42.062,34.496,42.062,4.0,-0.0019988505244255064,0.011,0.005,-0.02699655157327652,Normal
4.900999131560326,0.1,4.881,35418.0,0.29099,0.697,0.086,0.34161201605600117,42.393,4.0,1.0340273678302765,6.725,4.967,6.725,4.0,0.008333,0.011,0.004,-0.026213965801835062,Normal
7.055,0.824,7.055,35214.0,2.258258,5.945,0.057,3.212755,123.654,4.0,1.0,70.245,7.112,70.245,4.0,0.021999,0.06099992713332176,-0.013999854266643524,0.025159,Normal
0.677,0.121,0.7169964228272439,35604.0,0.155328,0.261,0.093,0.092002,23.777,4.0,1.01999999769032,23.077,0.7600000002235174,23.077,4.0,0.009333,0.011,0.008,-0.028471999329447745,Normal
15.205,0.108,15.205,35556.0,0.524983,1.3969999660253525,0.094,0.737871,33.692,4.0,1.0,32.004,15.309,32.004,4.0,0.009,0.014,0.005,-0.025416999329447746,Normal
20.769982978478073,0.133,20.74,35480.0,1.375954,3.91,0.104,2.194514,49.336,4.0,1.0199989303946495,34.596,20.844,34.596,4.0,0.012666,0.019,0.007,-0.033971525994062425,Normal
10.206,0.12,10.206,35486.0,0.144662,0.2719547070264816,0.092,0.076166,48.665,4.0,1.0,12.102,10.298,12.102,4.0,0.009,0.01,0.008,-0.05899911017715931,Normal
15.342,0.124,15.342,35580.0,0.957968,2.656,0.106,1.470514,43.196,4.0,1.0,29.464,15.454,29.464,4.0,0.015,0.022,-0.014999999552965163,-0.021111999329447746,Normal
10.152,0.102,10.152,35668.0,0.188327,0.323,0.093,0.119939,26.569,4.0,1.0,15.935,10.301,15.961197669096292,4.0,0.009333,0.014,-0.005000000707805157,-0.015491001415610314,Normal
9.629,0.097,9.629,35644.0,0.266658,0.602,0.088,0.290615,38.191,4.0,1.0,12.57,9.739,12.57,4.0,0.007333,0.05899960772693157,0.005,0.002082,Normal
15.505,0.112,15.505,35494.0,0.11033,0.15199999999890287,0.079,0.037581,60.582,4.019999999552965,1.0,60.171,15.584,60.171,4.0,0.007333,0.012,0.004,-0.025836999329447746,Normal
15.946,0.093,15.946,35466.0,0.13699599977648258,0.188,0.085,0.054065,71.67099738067388,4.0,1.0,20.19,16.054,20.19,4.0,0.008333,0.01,0.007,-0.028471999329447745,Normal
16.089,0.129,16.089,35790.0,0.136995,0.199,0.098,0.054286,26.958,4.0,1.0,21.24,16.187,21.24,4.0,-0.017666935068190098,0.016,0.006,-0.014491956712126733,Normal
21.054,0.063,21.054,35736.0,0.10833,0.172,0.057,0.058484,40.484,4.0,1.0,24.764,21.15,24.764,4.0,0.008,0.021999871253967285,0.006,-0.01653574250793457,Normal
5.847,0.091,5.847,35764.0,0.09633,0.14599999955296517,0.081,0.025697,40.033,4.0,1.0,9.464,5.928,9.464,4.0,0.007,0.018999999776482583,-0.024999999329447745,0.002,Normal
11.317653903536499,0.519,11.291,35532.0,0.289657,0.503,0.088,0.16774718926167487,73.537,4.0,1.0,16.955,11.379,16.955,4.0,0.01,0.016,0.005,-0.024431999329447746,Normal
31.491,0.125,31.491,35650.0,0.115329,0.128,0.108,0.011015,52.167,4.0,1.0,36.556,31.599,36.556,4.0,0.008666,0.04499987360090017,-0.01699991573393345,0.006028,Normal
0.789,0.083,0.789,35706.0,0.13466258977103235,0.197,0.072,0.071319,51.759,4.0,1.0,20.232,0.861,20.232,4.0,0.007666,0.008,-0.0029998852238059042,-0.029422655671417712,Normal
36.692,0.435,36.692,35456.0,0.458651,0.874,0.06999999929219484,0.398268,90.583,4.019999999552965,1.0,44.578,36.772,44.578,4.0,0.008666,0.013,-0.025999999329447746,0.004509,Normal
0.674,0.08000000044703484,0.674,35438.0,0.121996,0.187,0.088,0.056312,93.671,4.0,1.0,2.924,0.762,2.924,4.029999993741512,-0.0030000007078051566,0.009,-0.03400000283122063,0.001732,Normal
25.5559991799891,0.118,25.536,35414.0,0.118996,0.16,0.089,0.02675601512467861,99.64048958049248,4.0,1.0,29.963,25.625,29.963,4.0,0.008666,0.01,0.008,-0.028844963007867336,Normal
5.201,0.084,5.201,35270.0,0.361321,0.854,0.075,0.428533,161.536,4.0,1.0,51.873,6.055,51.873,4.0,0.01,0.014,0.007,0.003606,Normal
45.335,0.104,45.335,35606.0,1.183294,3.35,0.092,1.876405,81.336,4.0,1.0199921652674675,47.226,45.443,47.226,4.0,0.008666,0.012,0.005,-0.026487555088579653,Normal
25.634,0.15,25.634,35882.0,0.663311,1.76,0.103,0.949817,42.14,4.0,1.0,35.036,25.737,35.036,4.0,0.011666,0.0329998265504837,0.005,-0.010133653100967407,Normal
35.529,0.128,35.529,35518.0,0.887637,2.479,0.071,1.3582950004470349,98.472,4.0,1.0,39.019289840176704,35.6,38.999,4.0,0.005998999292194843,0.023,-0.020000002123415468,0.006557,Normal
15.824994653314352,0.04201122821122408,15.785,35450.0,0.119329,0.182,0.083,0.054501,107.313,4.0,1.0,18.866,15.878,18.866,4.0,0.008,0.03899999932944775,-0.013999999552965164,0.001732,Normal
