c_first,c_first_ack,c_last,c_port,c_rtt_avg,c_rtt_max,c_rtt_min,c_rtt_std,durat,s_ack_cnt,s_ack_cnt_p,s_first,s_first_ack,s_last,s_pkts_all,s_rtt_avg,s_rtt_max,s_rtt_min,s_rtt_std,Label
7.574,0.271,7.574,35240.0,0.430652,0.611,0.261,0.175244,33.17097589018196,4.0,1.0,31.122,8.185,31.122,4.0,0.018333,0.044999999552965166,-0.029999999105930326,0.007638,Normal
5.335,0.20400000000082283,5.335,35220.0,0.30699,0.628,0.099,0.282023,41.898,4.0,1.0,39.58,5.434,39.58,4.0,0.010333,0.015,-0.023999990947544576,-0.015490993965029717,Normal
1.477,0.165,1.486999955072999,35308.0,0.128996,0.20699928429722786,0.081,0.053703,26.449,4.0,1.0,24.399,1.558,24.399,4.0,0.019999,0.046,0.006,-0.007460990947544575,Normal
1.085,0.148,1.085,35228.0,0.148662,0.218,0.1,0.061655,45.094,4.0,1.0,44.275,1.185,44.275,4.0,0.024999,0.031,0.02,0.005568,Normal
0.939,0.14,0.939,35298.0,1.556615,3.602,0.118,1.819505,42.514,4.0,1.0,38.042,1.889,38.042,4.0,-0.006666999552965165,0.022,-0.023999999329447748,0.008083,Normal
1.722,0.1050002633035183,1.722,35316.0,1.468618,4.193999995827675,0.107,2.342905,36.559,4.0,1.0,31.33,1.829,31.33,4.0,0.011666,0.02,0.005,-0.03236199910593033,Normal
1.911,0.53,1.911,35260.0,1.288624,3.049,0.3,1.52835,45.938,4.0,1.0,41.967,2.211,41.967,4.0,0.010333,0.042999999329447744,-0.010999999552965165,0.002309,Normal
2.01,0.2,2.01,35218.0,1.264291,3.07,0.19,1.573129,59.643,4.012851272476837,1.0,56.258,2.543,56.258,4.0,0.008666,0.013,0.003,-0.024867912716448306,Normal
6.091999999552965,0.205,6.072,35250.0,0.433652,1.006,0.099,0.498022,53.895,4.0,1.0,52.498,6.171,52.498,4.0,0.011666,0.018,-0.0020000007078051565,-0.024491999329447747,Normal
4.223,0.425,4.223,35222.0,2.973901,8.46699486401677,0.074,4.734096,62.634,4.0,1.0,53.621,4.297,53.621,4.0,-0.005333992102384567,0.018,-0.027999987930059433,0.003055,Normal
0.789,0.121,0.789,35342.0,0.122329,0.152,0.107,0.025697,30.41,4.0,1.0,15.857,0.896,15.857,4.0,0.010666,0.013,-0.010999999552965165,-0.027917999329447746,Normal
1.008,0.101,1.008,35390.0,0.099997,0.123,0.06600000230967998,0.020075,8.268,4.0,1.0,3.472,1.094,3.472,4.0,0.009333,0.012,-0.004000000707805157,-0.026945002123415468,Normal
10.321,0.236,10.321,35364.01999873668,0.20466,0.294,0.102,0.096692,15.819,4.0,1.0,11.821,10.423,11.821,4.0,0.011333,0.02799999977648258,-0.021999999329447746,0.005774,Normal
0.917,0.126,0.917,35410.0,0.117663,0.146,0.091,0.027538,14.729,4.0,1.0,2.725,1.008,2.725,4.0,0.007333,0.01,0.004,0.003055,Normal
6.007,0.159,6.007,35332.0,1.001967,2.698,0.138,1.468866,59.137,4.0,1.0,27.997,6.177,27.997,4.0,-0.016667002123415472,0.05099999932944775,0.007,0.007095,Normal
0.822,0.152,0.822,35352.0199932307,2.093264,5.224,0.121,2.741615,60.11,4.0,1.0,14.79,1.757,14.79,4.0,0.019999,0.031,0.0010000002235174173,-0.019850999329447748,Normal
0.801,0.146,0.801,35338.0,1.155295,3.222,0.112,1.789814,73.704,4.0,1.0,22.4199121607095,0.913,22.39,4.0,0.01,0.014,-0.022999999329447747,-0.026393950900673868,Normal
2.3,0.088,2.3,35284.0,0.165661,0.287,0.082,0.107565,105.883,4.0,1.0,53.063,2.428,53.063,4.0,0.011,0.016,-0.023999999329447748,-0.014999999552965163,Normal
