c_first,c_first_ack,c_last,c_port,c_rtt_avg,c_rtt_max,c_rtt_min,c_rtt_std,durat,s_ack_cnt,s_ack_cnt_p,s_first,s_first_ack,s_last,s_pkts_all,s_rtt_avg,s_rtt_max,s_rtt_min,s_rtt_std,Label
7.574,0.271,7.574,35240.01999931596,0.430652,0.611,0.261,0.175244,33.141,4.0,1.0,31.122,8.185,31.122,4.0,0.018333,0.09499889202415943,0.01,0.007638,Normal
5.335,0.204,5.335,35220.0,0.3269900014156103,0.628,0.099,0.282023,41.898,4.0,1.0,39.58,5.434,39.58,4.0,0.010333,0.044999999329447746,0.006,-0.005490999776482582,Normal
1.477,0.165,1.477,35308.0,0.128996,0.187,0.081,0.053703,26.449,4.0,1.0,24.399,1.558,24.43897925668955,4.0,0.019999,0.07599999932944775,-0.013999999552965164,0.022539,Normal
1.085,0.148,1.085,35228.0,0.148662,0.218,0.1,0.061655,45.094,4.0,1.0,44.275,1.185,44.275,4.0,0.024999,0.031,-0.02999960120767355,0.005568,Normal
0.939,0.10022107824683191,0.939,35298.0,1.556615,3.602,0.118,1.819505,42.514,4.0,1.0,38.042,1.889,38.042,4.0,-0.016666996535480025,0.022,0.006,-0.011916997690320015,Normal
1.722,0.135,1.722,35316.0,1.468618,4.174,0.107,2.342905,36.559,4.0,1.0,31.33,1.829,31.33,4.0,0.011666,0.02,-0.014999759271740912,-0.02236163890761137,Normal
1.9309999995529652,0.53,1.911,35260.0,1.3186239993294477,3.049,0.3,1.52835,45.938,4.0,1.0,41.967,2.211,41.967,4.0,0.010333,0.013,0.009,-0.03769100283122063,Normal
2.01,0.2,2.01,35218.0,1.264291,3.07,0.19,1.573129,59.643,4.0,1.0,56.258,2.543,56.258,4.0,0.008666,0.013,0.003,-0.024865928999364375,Normal
6.072,0.205,6.072,35250.0,0.433652,1.006,0.099,0.498022,53.895,4.0,1.0,52.498,6.171,52.498,4.0,0.011666,0.04799999932944775,-0.011999999552965164,0.005508,Normal
4.223,0.425,4.223,35222.0,2.973901,8.437,0.074,4.734096,62.642296196348966,4.0,1.0,53.621,4.297,53.621,4.0,0.014666,0.018,0.012,-0.04694060210853815,Normal
0.789,0.121,0.8089976470321417,35342.0,0.122329,0.152,0.107,0.025697,30.41,4.0,1.0,15.857,0.896,15.857,4.0,0.010666,0.013,0.009,-0.0378894894592762,Normal
1.0279999529868364,0.101,1.008,35389.9798996101,0.099997,0.123,0.086,0.020075,8.268,4.0,1.0,3.472,1.094,3.472,4.0,0.009333,0.012,-0.033999987930059435,0.003055,Normal
10.321,0.236,10.321,35364.0,0.20466,0.32399999653548,0.102,0.096692,15.819,4.0,1.0,11.821,10.423,11.821,4.049993903376162,-0.008667001415610314,0.018,-0.03200000283122063,0.005774,Normal
0.917,0.126,0.917,35410.0,0.117663,0.146,0.091,0.027538,14.729,4.0,1.0,2.725,1.008,2.725,4.0,0.007333,0.01,-0.015999999552965164,-0.026944999329447744,Normal
6.007,0.159,6.007,35332.0,1.001967,2.698,0.138,1.468866,59.137,4.0,1.0,27.997,6.177,27.997054833119066,4.0,0.013333,0.0409995618313551,0.007,-0.022904342747032642,Normal
0.822,0.152,0.822,35352.00999976415,2.093264,5.224,0.121,2.741615,60.11,4.0,1.0,14.809997876137494,1.757,14.79,4.0,0.019999,0.031,0.011,-0.019850999329447748,Normal
0.801,0.146,0.801,35338.0,1.155295,3.222,0.09200002838671208,1.789814,73.704,4.0,1.0,22.39,0.8830010176748038,22.39,4.0,0.01,0.014,0.007,-0.03639394695186615,Normal
2.3,0.088,2.3,35284.0,0.1856605469301939,0.287,0.082,0.107565,105.883,4.0,1.0,53.063,2.428,53.063,4.0,0.011,0.016,0.006,-0.02499963890761137,Normal
34.392,0.158,34.392,35404.0,0.61298,1.588,0.104,0.844648,49.037,4.0,1.0,42.062,34.496,42.062,4.0,0.008,0.030999997690320014,-0.02499999653548002,0.003,Normal
4.881,0.10000000000109714,4.881,35418.0,0.29099,0.697,0.086,0.351612,42.393,4.0,1.0,6.725,4.967,6.725,4.0,0.008333,0.030999757409095764,-0.025999636113643646,0.003786,Normal
7.055,0.8140242015719413,7.055,35214.0,2.258258,5.945,0.057,3.212755,123.654,4.0,1.0,70.245,7.112,70.245,4.0,0.021999,0.051,0.006,0.005161408847212792,Normal
0.6967163550183177,0.121,0.677,35604.0,0.155328,0.261,0.093,0.092002,23.777,4.0,1.0,23.077,0.77,23.077,4.023390873335302,0.009333,0.011,0.008,-0.028471993741512297,Normal
15.205,0.108,15.205,35556.0,0.524983,1.377,0.094,0.737871,33.692,4.0,1.0,32.004,15.309,32.004,4.0,-0.029233129307627677,0.03399975927174091,0.005,0.004583,Normal
20.74,0.11300000417232514,20.74,35480.0,1.375954,3.91,0.06400084653496742,2.194514,49.38111657170951,4.0,1.0,34.596,20.83400000022352,34.596,4.0,0.012666,0.019,0.007,-0.02397200212341547,Normal
10.206,0.12,10.206,35486.0,0.144662,0.232,0.092,0.076166,48.665,4.0,1.0,12.102,10.298,12.102,4.0,0.009,0.029999995827674868,-0.0219999937415123,-0.008999997913837432,Normal
15.342,0.124,15.342,35580.005041801836,0.957968,2.656,0.106,1.470514,43.196,4.0,1.0,29.464,15.454,29.464,4.0,0.015,0.051999999329447745,-0.014999999552965163,0.008888,Normal
10.152,0.102,10.152,35668.0,0.188327,0.323,0.093,0.119939,26.569,4.0,1.0,15.935,10.301,15.935,4.0,0.009333,0.014,-0.004999999776482582,-0.015490999552965165,Normal
9.629,0.097,9.629,35644.0,0.266658,0.602,0.088,0.290615,38.191,4.0,1.0,12.57,9.739,12.57,4.0,-0.002666844245612621,0.028999688491225244,0.005,-0.027917532736837863,Normal
15.505,0.112,15.505,35494.0,0.13032999769032,0.152,0.079,0.037581,60.582,4.0,1.0,60.171,15.584,60.171,4.0,0.007333,0.04199999653548002,-0.005999998845160007,0.004163,Normal
15.946,0.093,15.946,35466.00249844184,0.126996,0.188,0.085,0.054065,71.651,4.0,1.0,20.19,16.054,20.19,4.0,0.008333,0.01,-0.022996386729180814,-0.008470795576393604,Normal
16.089,0.129,16.089,35790.0,0.13699500000109713,0.199,0.098,0.054286,26.958,4.0,1.0,21.24,16.187,21.24,4.0,0.012333,0.04599996021389961,-0.013999973475933075,0.005508,Normal
21.054,0.05683578868582845,21.054,35736.0,0.1183293972107768,0.172,0.057,0.058484,40.484,4.0,1.0,24.764,21.15,24.764,4.0,0.008,0.012,0.006,-0.02653534274703264,Normal
5.847,0.091,5.847,35764.0,0.09633,0.126,0.081,0.025697,40.033,4.0,1.0,9.464,5.928,9.464,4.0,0.007,0.009,-0.004999956004321575,-0.01799991200864315,Normal
11.310999999552966,0.519,11.291,35532.0,0.289657,0.503,0.088,0.207746,73.537,4.0,1.0,16.955,11.379,16.955,4.0,0.01,0.016,0.005,-0.024431999329447746,Normal
31.491,0.125,31.491,35650.0,0.115329,0.128,0.108,0.011015,52.167,4.0,1.0,36.575994795322416,31.599,36.556,4.0,0.008666,0.015,0.003,-0.023971996535480024,Normal
0.789,0.083,0.789,35706.0,0.13466299396502973,0.197,0.072,0.071319,51.759,4.0,1.0,20.232,0.861,20.232,4.0,0.007666,0.008,0.007,-0.02942299653548002,Normal
36.692,0.435,36.692,35456.0,0.458651,0.874,0.08,0.398268,90.583,4.0,1.0,44.59799860815704,36.772,44.578,4.0,0.008666,0.013,0.004,-0.025490996535480023,Normal
0.674,0.1,0.674,35438.0,0.1419952600828409,0.187,0.088,0.056312,93.671,4.0,1.0,2.924,0.762,2.924,4.0,0.007,0.009,-0.003999875910580158,-0.028267627731740474,Normal
25.536,0.10800002723187208,25.536,35414.0,0.118996,0.16,0.089,0.036756,99.639,4.0,1.0,29.963,25.625,29.963,4.019999755546451,0.008666,0.01,0.008,-0.0288449937415123,Normal
5.201,0.084,5.201,35270.0,0.361321,0.854,0.075,0.428533,161.5363355179215,4.0,1.0,51.873,6.055,51.873,4.0,0.01,0.03399997533857822,0.007,-0.026393963007867338,Normal
45.335,0.104,45.335,35606.0,1.183294,3.35,0.092,1.876405,81.336,4.0,1.0,47.226,45.443,47.226,4.0,-0.031333980479478836,0.012,-0.014999999552965163,0.003512,Normal
25.634,0.15,25.653999420270324,35882.0,0.663311,1.76,0.103,0.949817,42.14,4.0,1.0,35.036,25.737,35.036,4.0,0.011666,0.023,-0.034967155084013934,0.009866,Normal
35.529,0.128,35.529,35518.0,0.887637,2.479,0.06100000022351741,1.378295,98.472,4.0,1.0,38.999,35.6,39.018995342940094,4.0,0.015999,0.023,0.01,-0.02344300212341547,Normal
15.785,0.092,15.785,35450.0,0.119329,0.182,0.083,0.054501,107.313,4.0,1.0,18.866,15.878,18.866,4.0,0.008,0.009,-0.02399963890761137,-0.018267759271740912,Normal
60.761,0.088,60.761,35692.0,0.120996,0.189,0.071,0.061025,79.341,4.0,1.0,64.266,60.864,64.266,4.0,0.010333,0.04699999932944775,-0.014999999552965163,0.00611,Normal
51.213,0.057,51.213,35726.0,0.108996,0.172,0.051,0.060655,76.591,4.0,1.0,53.437,51.317,53.437,4.019999736919999,0.007,0.01,0.005,-0.027353960213899613,Normal
0.972,0.136,0.972,35508.0,0.116329,0.128,0.101,0.013868,106.41,4.0,1.0,2.733,1.073,2.733,4.0,0.014,0.036999999552965165,0.009,-0.025640999329447745,Normal
34.71,0.102,34.71,35708.0,0.195993,0.411,0.083,0.186277,80.146,4.0,1.0,39.23208619220555,34.793,39.231,4.0,-0.021999532736837864,0.03299968849122524,0.003,0.005,Normal
36.078,0.174,36.078,35898.0,0.15032899955296516,0.161,0.112,0.026727,49.341,4.0,1.0,43.934,36.19,43.934,4.0,0.009,0.013,0.006,-0.026393999329447748,Normal
11.543,0.136,11.543,36146.0,0.223659,0.44,0.107,0.187543,19.526,4.019999651238322,1.0,13.773,11.65,13.773,4.0,0.009,0.012,0.007,-0.027353946244060994,Normal
91.047,0.115,91.047,35602.0,0.125996,0.168,0.103,0.036428,103.11699978534877,4.0,1.0,102.594,91.154,102.594,4.0,0.016333,0.029,0.008,-0.01885000212341547,Normal
0.755,0.126,0.755,36114.0,0.337322,0.808,0.07364821229875088,0.407732,34.696,4.0,1.0,2.976,0.847,2.976,4.0,0.0010000123307108873,0.016,0.003,-0.012999975338578225,Normal
75.252,0.082,75.252,35636.0,0.127662,0.186,0.076,0.055302,104.227,4.0,1.0,77.867,75.373,77.867,4.0,0.007,0.01,-0.004999998845160007,-0.017353997690320016,Normal
50.168,0.108,50.168,35928.0,0.10733,0.133,0.089,0.022898,61.489,4.01999999769032,1.0,51.833,50.257,51.833,4.0,0.007666,0.017999999776482582,-0.022999999329447747,0.000577,Normal
95.973,0.096,95.973,35718.0,0.128996,0.22,0.08,0.078886,102.815,4.0,1.0,97.78,96.053,97.78,4.01999993622303,0.007,0.009,-0.0259999937415123,0.002646,Normal
11.116,0.13,11.116,35540.0,0.137995,0.17599996788799763,0.119,0.01852,127.875,4.0,1.0,32.811,11.255,32.811,4.0,0.009,0.050999680593609806,0.007,0.002,Normal
56.192,0.759,56.192,35828.0,0.327989,0.748,0.086,0.365136,85.186,4.0,1.0,59.881,56.278,59.90095652541518,4.0,0.008,0.011,0.006,-0.027353960213899613,Normal
20.402,0.104,20.402,36202.0,0.370988,0.921,0.096,0.476314,26.446,4.0,1.0,24.345,20.498,24.345,4.0,0.006666,0.017999986737966538,0.004,-0.017690973475933076,Normal
115.205,0.102,115.205,35572.0,0.291657,0.694,0.088,0.34843999999835434,129.28,4.0,1.0,117.843,115.293,117.843,4.0,0.009666,0.044999963007867336,0.005,-0.014966975338578225,Normal
21.031,0.101,21.031,36186.0,0.170661,0.33,0.089,0.138001,33.262997401162984,4.0,1.0,23.132,21.12,23.132,4.0,0.007,0.008,0.006,-0.02899999653548002,Normal
40.9,0.114,40.9,36126.0,0.137662,0.216,0.093,0.068061,53.844,4.0,1.0,43.112,40.993,43.112,4.0,-0.0009998619407415397,0.013,0.004,-0.015416723881483078,Normal
45.454,0.098,45.454,35432.0,14.347522,42.858,0.089,24.690385,151.486,5.0,2.0,50.120993836060165,45.551,50.101,5.0,0.007,0.03899999932944775,0.004,-0.007353999776482582,Normal
91.618,0.057,91.618,35576.0,0.095663,0.146,0.052,0.047353,137.101,4.0,1.019999846816063,98.826,91.707,98.826,4.0,0.005,0.007,0.003,-0.027999963007867334,Normal
15.284,0.169,15.284,36066.0,0.141995,0.16,0.109,0.028618,59.565,4.0,1.0,19.747,15.393,19.747,4.0,-0.02033363890761137,0.012,0.008,-0.017917759271740913,Normal
35.071,0.09800000000109714,35.071,35548.01997862384,0.220326,0.442,0.088,0.193169,140.817,4.0,1.0,45.68,35.202,45.68,4.0,0.008,0.01,0.005,-0.027353990947544576,Normal
36.251,0.139,36.27769230196625,35754.0,0.242659,0.505,0.096,0.227715,111.61,4.0,1.0,39.176,36.347,39.176,4.0,0.013666,0.019,0.01,-0.025273999329447745,Normal
51.224,0.146,51.224,35984.01982213557,0.170661,0.29,0.085,0.106566,71.214,4.0,1.0,59.533,51.309,59.533,4.0,0.011,0.017,-0.022999960213899613,0.005292,Normal
5.804,0.135,5.804,36278.0,0.179994,0.35,0.064,0.150453,21.614,4.0,1.0,7.615,5.868,7.615,4.0,0.011333,0.03999997347593308,-0.004999986737966537,0.007767,Normal
99.933,0.129,99.933,35588.0,0.70931,1.93,0.083,1.057249,138.342,4.019995724782348,1.0,102.04,100.016,102.04,4.0,0.014333,0.021,-0.001999878704547882,-0.02349363611364365,Normal
0.679,0.094,0.679,36128.0,0.20266,0.424,0.087,0.191745,60.747,4.0,1.0,3.41,0.776,3.41,4.0,0.008,0.03299975927174091,-0.005999879635870457,0.004583,Normal
40.784,0.096,40.80399995857477,36034.0,0.111663,0.156,0.089,0.038397,73.362,4.0,1.0,42.558,40.873,42.558,4.0,0.010333,0.019,-0.0239999937415123,0.007506,Normal
30.867,0.28,30.867,35910.0,0.19066,0.271,0.114,0.078564,91.774,4.0,1.0,38.828,30.981,38.828,4.0,0.009666,0.0359994333088398,-0.005999716654419899,0.006028,Normal
50.53,0.111,50.53,35374.0,0.459985,1.2,0.086,0.640871,175.453,4.0,1.0,62.728,50.616,62.728,4.019995441660285,0.010333,0.017,0.006,-0.024140636113643647,Normal
66.442,0.196,66.442,35358.0,0.136329,0.163,0.102,0.031214,183.547,4.0,1.0,70.77,66.544,70.77,4.0,0.015666,0.06299996300786734,0.004,-0.004691975338578224,Normal
34.867,0.101,34.867,35586.01999890618,0.120329,0.175,0.091,0.047385,152.331,4.029999943450093,1.0,40.454,34.958,40.454,4.0,0.009333,0.055000002831220626,0.006,0.004933,Normal
80.938,0.10800000488013028,80.938,35924.0,0.123663,0.164,0.097,0.035529,96.92899870315195,4.0,1.0,86.533,81.035,86.533,4.0,0.007666,0.008,-0.02300000212341547,0.000577,Normal
1.257,0.097,1.257,36240.0,0.11033,0.151,0.089,0.035233,43.951,4.0,1.01999999769032,2.969,1.346,2.969,4.0,-0.001333999776482582,0.011,0.006,-0.027482999329447748,Normal
67.545,0.129,67.545,35940.0,0.125329,0.178,0.082,0.048676,98.665,4.0,1.0,69.174,67.627,69.174,4.0,0.011333,0.017,-0.015999997690320015,-0.0033419988451600076,Normal
21.304,0.101,21.304,35676.0,0.108996,0.129,0.09,0.019519,137.546,4.0,1.0,27.586,21.412,27.586,4.0,0.009,0.011,-0.0029998172372579573,-0.017999634474515913,Normal
19.886,0.069,19.886,36058.0,0.106996,0.168,0.064,0.054286,82.453,4.0,1.0,37.104,19.975,37.104,4.0,0.008,0.015,-0.025999997466802597,0.006083,Normal
5.879,0.079,5.879,35996.0,0.113996,0.162,0.073,0.044911,91.4,4.0,1.0,15.646,5.986,15.646,4.0,0.009,0.015,-0.013998835399746895,-0.004803417699873447,Normal
0.732,0.119,0.732,35856.0,0.229992,0.488,0.091,0.223658,116.239,4.0,1.0,3.376,0.823,3.376,4.0,0.007666,0.01999999698251486,0.005,-0.017482993965029718,Normal
15.701,0.106,15.701,36037.98608608387,0.453652,1.163,0.099,0.614301,91.859,4.0,1.0,67.342,15.8,67.342,4.0,0.009,0.013,0.007,-0.026535521560966967,Normal
69.971,0.133,69.971,35442.0016179136,0.419986,1.029,0.111,0.527429,179.368,4.0,1.0,72.925,70.082,72.925,4.0,0.014666,0.04999999932944775,-0.008999999552965165,0.004726,Normal
105.374,0.269,105.374,35818.0,0.249325,0.42099732293188574,0.094,0.153533,128.416,4.0,1.0,107.748,105.468,107.748,4.0,0.015333,0.019,0.011,-0.02595833995306492,Normal
